listing_id,url,name,location,tags,address,image_url,phone,whatsapp,email,line,website,facebook,instagram,tiktok,youtube
27,https://www.samuisocial.com/directory/listing/27,New Body and Mind,Lipa Noi,"Beauty & Wellness, Detox & Weight Loss, Swimming Pool, Sauna, Steam Room, Floating Tank, Sound Healing, Bath Therapy, Health Food, Sports Massage, Herbal Steam Room, Thai Massage, Foot Massage, Coconut Oil Massage, Deep Tissue Massage, Neck And Shoulder Massage, Head Massage, Speciality Massages",,https://www.samuisocial.com/asset/uploads/businesslistings/27/profile.jpg?t=1764305509,+6677423189;+66988204967,https://wa.me/+66988204967,sawadee@newbodyandmind.com,,https://www.newbodyandmind.com,https://www.facebook.com/newbodyandmindretreats/,https://www.instagram.com/newbodyandmindofficial,,https://www.youtube.com/@NewBodyandMindRetreats
28,https://www.samuisocial.com/directory/listing/28,The Palms Bar & Grill,Chaweng,"Bars & Nightlife, Bars & Pubs, Live Music, Dj Music, Snack Menu, Pool Table, Sports Bar, Rock Music",,https://www.samuisocial.com/asset/uploads/businesslistings/28/profile.jpg?t=1764305511,+66805193931,https://wa.me/+66805193931,,,https://thepalmssamui.com/;https://x.com/Palms_Samui,https://www.facebook.com/thepalmssamui,https://www.instagram.com/thepalms_samui/,,
29,https://www.samuisocial.com/directory/listing/29,Bondi Aussie Bar & Grill,Chaweng,"Food & Beverage, Restaurants, Bars & Entertainment, Meat Lovers, Thai Food, International Food, Aussie Food, Cocktails, Wifi Access In Restaurant",,https://www.samuisocial.com/asset/uploads/businesslistings/29/profile.webp?t=1764305512,+66954197630,https://wa.me/+66954197630,,,https://www.bondiasia.com;https://x.com/BondiSamui,https://www.facebook.com/Bondiasia/,https://www.instagram.com/bondi_asia,,
30,https://www.samuisocial.com/directory/listing/30,Samui Media Group,Bophut,"Professional Services, Marketing, Graphic Design & Printing, Merchandise, Web Development, Seo Services, Digital Marketing, Graphic Design, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/30/profile.webp?t=1764305514,+66800381034,https://wa.me/+66800381034,info@samuimediagroup.com,,https://t.me/+66800381034;https://www.samuimediagroup.com,https://www.facebook.com/samuimedia,,,
31,https://www.samuisocial.com/directory/listing/31,The Outback Cafe,Lipa Noi,"Food & Beverage, Restaurants, Pet Friendly, Thai Food, International Food, Breakfast, Wifi Access In Restaurant",,https://www.samuisocial.com/asset/uploads/businesslistings/31/profile.jpg?t=1764305514,+66897277757,https://wa.me/+66897277757,waraporn.dkt@gmail.com,,,https://www.facebook.com/Outbackcafe,https://www.instagram.com/the_outback_cafe_lipanoi/,,
32,https://www.samuisocial.com/directory/listing/32,La Marine Lakeside,Chaweng,"Food & Beverage, Restaurants, Dj Music, Meat Lovers, Thai Food, French Food",,https://www.samuisocial.com/asset/uploads/businesslistings/32/profile.jpg?t=1764305516,+66802460173,,,,,,,,
34,https://www.samuisocial.com/directory/listing/34,La Bodega,Lamai,"Food & Beverage, Restaurants, Meat Lovers, Thai Food, Spanish Food, Tapas, Mediterranean Food",,https://www.samuisocial.com/asset/uploads/businesslistings/34/profile.jpg?t=1764305518,+66940579605,,,,,,,,
35,https://www.samuisocial.com/directory/listing/35,Samui Print,Bophut,"Professional Services, Graphic Design & Printing, Graphic Design, E-commerce Websites, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/35/profile.webp?t=1764305519,+66800381034,,,,,,,,
42,https://www.samuisocial.com/directory/listing/42,Samui Graphic Design,Bophut,"Professional Services, Graphic Design & Printing, Seo Services, Digital Marketing, Graphic Design, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/42/profile.webp?t=1764305521,+66848467182,https://wa.me/+66848467182,info@samuimediagroup.com,,https://www.samuigraphicdesign.com,,,,
44,https://www.samuisocial.com/directory/listing/44,Samui Marketing,Bophut,"Professional Services, Marketing, Seo Services, Digital Marketing, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/44/profile.webp?t=1764305523,+66800381034,https://wa.me/+66800381034,info@samuimediagroup.com,,https://www.samuimarketing.com,,,,
